Date,Open,High,Low,Close,Adj Close,Volume
2009-07-22,69.879997,70.720001,69.519997,69.989998,54.078590,24773800
2009-07-23,69.820000,71.739998,69.730003,71.610001,55.330307,27122600
2009-07-24,71.360001,72.379997,71.260002,72.290001,55.855713,18187900
2009-07-27,72.410004,72.790001,71.750000,72.750000,56.211147,17360300
2009-07-28,71.879997,72.500000,71.110001,71.889999,55.546646,23044500
2009-07-29,71.070000,71.580002,70.300003,71.430000,55.191246,24100600
2009-07-30,70.300003,71.519997,69.910004,70.720001,54.642632,37842300
2009-07-31,70.360001,70.500000,69.430000,70.389999,54.387676,28070600
2009-08-03,70.959999,71.400002,70.300003,70.650002,54.588570,24756800
2009-08-04,70.250000,70.639999,70.000000,70.599998,54.549923,18612000
2009-08-05,70.480003,70.489998,69.610001,70.029999,54.109520,20348800
2009-08-06,70.010002,70.029999,69.410004,69.730003,53.877712,17369900
2009-08-07,70.010002,70.389999,69.349998,69.470001,53.676819,18041800
2009-08-10,69.120003,69.709999,69.029999,69.180000,53.452740,16233400
2009-08-11,68.699997,68.790001,67.949997,68.129997,52.962975,16947000
2009-08-12,68.230003,69.550003,68.150002,69.110001,53.724831,19183400
2009-08-13,69.220001,69.220001,68.169998,68.750000,53.444969,20235600
2009-08-14,68.519997,68.660004,67.650002,68.209999,53.025181,19228000
2009-08-17,67.370003,67.370003,66.510002,66.550003,51.734726,24332000
2009-08-18,66.699997,66.809998,66.260002,66.489998,51.688084,21519700
2009-08-19,66.089996,68.190002,66.089996,68.000000,52.861916,28432900
2009-08-20,68.089996,68.779999,67.870003,68.589996,53.320591,17247200
2009-08-21,69.449997,70.000000,69.209999,69.919998,54.354507,26166000
2009-08-24,70.040001,71.650002,69.930000,71.300003,55.427299,25603700
2009-08-25,71.699997,71.889999,70.550003,70.680000,54.945316,21183500
2009-08-26,70.050003,71.470001,69.900002,71.370003,55.481716,18773100
2009-08-27,71.070000,71.169998,69.989998,70.860001,55.085236,21395500
2009-08-28,71.199997,71.199997,69.949997,70.120003,54.509995,17716500
2009-08-31,69.449997,69.849998,68.949997,69.150002,53.755917,24337900
2009-09-01,68.930000,69.500000,68.110001,68.410004,53.180664,24373900
2009-09-02,68.349998,68.900002,68.120003,68.180000,53.001858,16315800
2009-09-03,68.470001,68.650002,67.830002,68.260002,53.064037,15156000
2009-09-04,68.220001,69.300003,68.129997,69.180000,53.779240,15156600
2009-09-08,69.849998,70.970001,69.699997,70.650002,54.922012,21966000
2009-09-09,70.800003,71.050003,70.089996,70.500000,54.805374,19652600
2009-09-10,70.830002,71.040001,70.400002,70.650002,54.922012,19177600
2009-09-11,70.889999,71.080002,69.750000,69.980003,54.401138,17468500
2009-09-14,69.110001,70.290001,69.040001,70.000000,54.416698,17483100
2009-09-15,70.180000,70.180000,69.449997,69.489998,54.020222,19475900
2009-09-16,69.860001,70.379997,69.180000,70.339996,54.680988,22150400
2009-09-17,69.949997,70.449997,69.800003,69.839996,54.292305,20986000
2009-09-18,70.269997,70.480003,69.680000,69.989998,54.408913,43247900
2009-09-21,69.150002,69.680000,69.000000,69.570000,54.082405,17984000
2009-09-22,70.029999,70.139999,69.699997,69.830002,54.284538,14561800
2009-09-23,69.870003,70.339996,68.849998,69.000000,53.639305,20898600
2009-09-24,69.000000,69.360001,68.349998,68.930000,53.584896,21557000
2009-09-25,68.860001,69.540001,68.410004,68.699997,53.406101,16454900
2009-09-28,68.809998,69.849998,68.639999,69.589996,54.097984,13301600
2009-09-29,69.360001,69.709999,68.949997,69.070000,53.693737,14695100
2009-09-30,68.980003,69.239998,68.040001,68.610001,53.336140,27117400
2009-10-01,68.389999,68.500000,67.089996,67.269997,52.294422,24927000
2009-10-02,66.970001,67.139999,66.500000,66.580002,51.758049,20478900
2009-10-05,66.790001,67.779999,66.110001,67.580002,52.535435,21853000
2009-10-06,68.010002,69.099998,67.779999,68.660004,53.374992,21167400
2009-10-07,68.480003,68.930000,67.959999,68.669998,53.382771,15302500
2009-10-08,68.970001,69.300003,68.699997,69.050003,53.678181,19228800
2009-10-09,68.959999,69.269997,68.629997,69.269997,53.849205,13541900
2009-10-12,69.510002,70.500000,69.440002,70.129997,54.517761,16233800
2009-10-13,70.250000,70.389999,69.519997,70.260002,54.618805,19333400
2009-10-14,70.839996,71.879997,70.750000,71.839996,55.847065,25285700
2009-10-15,71.510002,73.000000,71.510002,72.940002,56.702187,24093600
2009-10-16,72.730003,73.349998,72.309998,73.120003,56.842121,23556600
2009-10-19,73.150002,73.970001,73.000000,73.620003,57.230801,20404600
2009-10-20,73.379997,73.540001,72.360001,73.019997,56.764381,20049600
2009-10-21,72.650002,74.300003,72.510002,73.309998,56.989811,23099500
2009-10-22,73.019997,74.650002,73.010002,74.440002,57.868248,26014500
2009-10-23,74.330002,74.330002,72.970001,73.570000,57.191944,20672100
2009-10-26,73.809998,74.919998,73.129997,73.230003,56.927631,27127700
